filename,basic_ntokens,basic_ntypes,basic_ncontent_tokens,basic_ncontent_types,basic_nfunction_tokens,basic_nfunction_types,lexical_density_types,lexical_density_tokens,simple_ttr_aw,simple_ttr_cw,simple_ttr_fw,root_ttr_aw,root_ttr_cw,root_ttr_fw,log_ttr_aw,log_ttr_cw,log_ttr_fw,maas_ttr_aw,maas_ttr_cw,maas_ttr_fw,mattr50_aw,mattr50_cw,mattr50_fw,msttr50_aw,msttr50_cw,msttr50_fw,hdd42_aw,hdd42_cw,hdd42_fw,mtld_original_aw,mtld_original_cw,mtld_original_fw,mtld_ma_bi_aw,mtld_ma_bi_cw,mtld_ma_bi_fw,mtld_ma_wrap_aw,mtld_ma_wrap_cw,mtld_ma_wrap_fw
171.txt,201,91,99,56,102,35,0.6153846153846154,0.4925373134328358,0.4527363184079602,0.5656565656565656,0.3431372549019608,6.418645104313244,5.628211765451588,3.4655164004183603,0.8505751761815543,0.876005810951209,0.7687284239330915,0.06487716203621723,0.0621326930816112,0.11514067325008748,0.7069736842105269,0.6803999999999998,0.4618867924528303,0.71,0.72,0.48,0.7352183564176643,0.686442448833133,0.5363780824592663,44.87799380274653,35.12965077164584,19.873357664233577,43.37722943722944,31.960526315789473,17.222757292239955,43.83582089552239,33.494949494949495,17.833333333333332
170.txt,101,62,48,38,53,24,0.6129032258064516,0.4752475247524752,0.6138613861386139,0.7916666666666666,0.4528301886792453,6.169230579301932,5.484827557301445,3.2966535347685366,0.8942636210657048,0.9396531333497672,0.8004584800175611,0.05275420414977911,0.03589423415787383,0.1157248230984277,0.7199999999999996,0.7916666666666666,0.46,0.73,0.7916666666666666,0.46,0.7850993494573532,0.8108875526775621,0.5162236883142227,55.86123402598322,64.512,16.879300261455896,47.83486622073578,0.0,17.165739268680447,56.7029702970297,53.0,18.09433962264151
164.txt,128,78,63,41,65,37,0.5256410256410257,0.4921875,0.609375,0.6507936507936508,0.5692307692307692,6.894291116568838,5.165514464459439,4.589285179800713,0.8979146026946069,0.8963194083574123,0.8650174694343825,0.04844576419807485,0.057621438962220425,0.07445613993135201,0.7460759493670888,0.6928571428571428,0.59625,0.78,0.7,0.62,0.780783207123849,0.6953098061512188,0.6647418922568838,56.749112749112754,28.625912408759127,25.61396965464703,49.8876893939394,27.83888888888889,18.864509246088193,54.8359375,29.285714285714285,27.723076923076924
158.txt,236,110,101,65,135,45,0.5909090909090909,0.4279661016949153,0.4661016949152542,0.6435643564356436,0.3333333333333333,7.160390103945313,6.467741736364929,3.872983346207417,0.8602900919221074,0.9045023319895285,0.7760345060592411,0.05887698654776147,0.047645886163576776,0.1051316452158487,0.7389304812834223,0.7896153846153854,0.5118604651162788,0.73,0.78,0.55,0.767426262848949,0.8166840561607185,0.5466766076707807,60.58993506493506,49.984693877551024,18.080357142857142,52.17450380501851,50.92916666666667,16.633333333333333,49.19491525423729,52.366336633663366,16.362962962962964
59.txt,201,97,98,64,103,33,0.6597938144329897,0.48756218905472637,0.48258706467661694,0.6530612244897959,0.32038834951456313,6.8418524738284034,6.464976285134148,3.2515866179421673,0.8626151160103017,0.9070692655306587,0.7544146745896505,0.05964966966102106,0.046670107228794964,0.12200953082349783,0.7105263157894735,0.7930612244897962,0.42407407407407455,0.7049999999999998,0.66,0.44,0.7398664184447765,0.77480900820023,0.4794076633835713,47.407805429864254,49.0,16.05483592400691,42.73421676362853,49.41292134831461,13.833921107628004,41.49751243781095,52.36734693877551,13.83495145631068
71.txt,183,95,92,49,91,46,0.5157894736842106,0.5027322404371585,0.5191256830601093,0.532608695652174,0.5054945054945055,7.022602074068442,5.108603144398332,4.822110248920825,0.8741508774558717,0.8606816156474222,0.8487609492066528,0.05562512405920043,0.07094370502382323,0.07720053868497263,0.731492537313433,0.636279069767442,0.6066666666666666,0.7000000000000001,0.66,0.66,0.7874570913128498,0.6601896097524679,0.6812414759056121,51.29992967822906,30.666666666666668,27.16039051603905,49.511147186147184,25.31680751173709,23.4498023715415,50.79234972677595,24.91304347826087,24.483516483516482
65.txt,386,141,162,88,224,53,0.624113475177305,0.41968911917098445,0.36528497409326427,0.5432098765432098,0.23660714285714285,7.176711039685955,6.913932971601798,3.541211455339623,0.8309091708497817,0.8800495399904201,0.7336569826460027,0.06537217160418886,0.05428813980447632,0.11332549385267823,0.6611275964391687,0.6886725663716806,0.45005714285714304,0.6771428571428572,0.7133333333333333,0.46499999999999997,0.7484917770909562,0.7991360491251628,0.5221833117067219,34.8198856688677,35.52544128242074,15.704845300642148,30.784954520602415,32.12244094488189,14.45873786407767,34.33937823834197,40.22839506172839,14.982142857142858
206.txt,257,132,116,86,141,46,0.6515151515151515,0.45136186770428016,0.5136186770428015,0.7413793103448276,0.3262411347517731,8.23393377248383,7.98489954161323,3.8738988369059872,0.8799306132920991,0.9370490759988692,0.7736567304332325,0.049822704848309966,0.03049271253260236,0.10531418980688217,0.7855769230769233,0.8931343283582095,0.49826086956521787,0.788,0.87,0.54,0.8149665286808022,0.8824981938134656,0.5836184502569283,76.76146312147742,125.58933333333336,20.73467589456112,72.77471845348941,0.0,19.093715846994535,77.23346303501945,116.60176991150442,20.0354609929078
212.txt,145,78,60,47,85,31,0.6025641025641025,0.41379310344827586,0.5379310344827586,0.7833333333333333,0.36470588235294116,6.477547428591717,6.0676739090582865,3.362422096189171,0.8754152928765251,0.9403574963462503,0.7729589846757379,0.0576415987442432,0.03354186188654177,0.11767326022274242,0.7399999999999999,0.8218181818181819,0.49166666666666686,0.73,0.82,0.5,0.7606150163917906,0.8422462497564769,0.5189068371885268,49.60222752585521,77.53846153846155,21.25,52.942293906810036,0.0,19.193667763157897,54.98620689655172,66.0,18.988235294117647
238.txt,156,90,54,49,102,41,0.5444444444444444,0.34615384615384615,0.5769230769230769,0.9074074074074074,0.4019607843137255,7.205766921228921,6.668055410909762,4.059604926204365,0.8910768275115906,0.9756419811863285,0.8029392207534378,0.04966574747742846,0.01406032472442098,0.09810851458491265,0.7099065420560753,0.9,0.5094339622641508,0.7066666666666667,0.9,0.53,0.7397786441015778,0.9250658495941507,0.544623613916726,48.43835616438356,163.29600000000008,15.286304101372485,39.638383152173915,0.0,14.107181571815719,44.93589743589744,69.0,15.490196078431373
204.txt,239,98,89,53,150,45,0.5408163265306123,0.3723849372384937,0.4100418410041841,0.5955056179775281,0.3,6.339093028060879,5.617988764033708,3.6742346141747673,0.8372131824110262,0.8845207289065943,0.7597165361956181,0.06844389558369504,0.0592386698914891,0.11041975505597744,0.6372631578947363,0.6229999999999997,0.4859405940594059,0.645,0.66,0.49333333333333335,0.7174044293056738,0.7299971934900054,0.5298495781944362,34.55630505316988,24.79525355463823,16.666666666666668,29.410238282272847,17.958671399594323,15.425523707791822,34.66108786610879,27.853932584269664,17.19333333333333
210.txt,241,113,115,61,126,52,0.5398230088495575,0.47717842323651455,0.46887966804979253,0.5304347826086957,0.4126984126984127,7.278969878329389,5.688279330265914,4.632528193148689,0.86190753751456,0.8663714786561857,0.8170002896030664,0.05797291119973156,0.06484624709505393,0.08712734561162432,0.7795833333333335,0.6827272727272727,0.6628571428571424,0.7750000000000001,0.69,0.64,0.8110582171044386,0.7278932311608407,0.6681596861080054,69.74256604739189,44.009305522510374,24.91413612565445,69.14842646114323,29.802600068422855,30.645163794441856,64.48132780082987,35.11304347826087,29.134920634920636
73.txt,443,169,165,112,278,57,0.6627218934911243,0.3724604966139955,0.38148984198645597,0.6787878787878788,0.20503597122302158,8.029432314660301,8.719188174609057,3.4186328202531833,0.8418544315584452,0.9241185389491626,0.7184298989139101,0.059758670559030364,0.03421962140868497,0.11520660405093823,0.6888832487309648,0.8460344827586209,0.46899563318777315,0.7075,0.8533333333333334,0.46799999999999997,0.7662856754395828,0.8785918419074273,0.5523722549082308,41.2486887835703,86.66687583668005,16.40480039796045,37.16335110746513,104.57975708502025,15.689385340106131,38.79006772009029,118.87878787878788,15.827338129496402
67.txt,185,95,83,59,102,36,0.6210526315789474,0.4486486486486487,0.5135135135135135,0.7108433734939759,0.35294117647058826,6.984538909891174,6.47609133939173,3.5645311547160277,0.8723307460621644,0.9227618295874526,0.7748194601627059,0.056312123311349355,0.04024753902375924,0.11210819505196433,0.694705882352941,0.7752941176470589,0.44679245283018904,0.6999999999999998,0.78,0.48,0.7433704845560667,0.8127517100751817,0.4934308234125252,52.38866128895664,72.46700507614213,15.06888560556995,38.60243902439025,58.407407407407405,14.28735632183908,46.994594594594595,73.46987951807229,15.294117647058824
199.txt,222,110,96,63,126,47,0.5727272727272728,0.43243243243243246,0.4954954954954955,0.65625,0.373015873015873,7.382716607354268,6.429910574805843,4.187092789961315,0.8700279571687992,0.9077166229641112,0.796096603917156,0.055393218431524234,0.046554364255381765,0.09707972555453592,0.7337572254335266,0.7476595744680848,0.5415584415584414,0.7150000000000001,0.74,0.59,0.796066763717263,0.8049939709506219,0.5956182905030377,52.97028826962778,66.3149456003054,20.460985626283367,49.13395236508994,40.69444444444444,18.40086956521739,50.57657657657658,45.833333333333336,19.1984126984127
9.txt,51,37,28,25,23,12,0.6756756756756757,0.5490196078431373,0.7254901960784313,0.8928571428571429,0.5217391304347826,5.181036310903636,4.72455591261534,2.5021729686848975,0.918382006208717,0.9659898769835575,0.7925087653372186,0.0477977391112515,0.023501319330618293,0.1523734987085193,0.73,0.8928571428571429,0.5217391304347826,0.72,0.8928571428571429,0.5217391304347826,0.7555501090352889,0.0,0.0,51.510000000000005,73.17333333333337,13.119837758112096,41.5,0.0,11.798076923076923,50.09803921568628,35.0,11.521739130434783
