"filename","np_elaboration","verb_vac_frequency","determiners","vac_frequency","possessives"
"125.txt",0.637327988842552,0.320867409926902,0.356653230400236,0.551217715856033,0.313093268159208
"127.txt",0.302790539288787,0.193110757400216,0.936816172512445,0.326996019611294,0.184404725326998
"128.txt",0.437598747466053,0.343193028163468,0.55840995643275,0.507324954544641,0.244226098196096
"129.txt",0.327611505518582,0.347528635964042,0.561126794567545,0.507628822157675,0.246518655430356
"13.txt",0.321039538274287,0.668529203473824,0.202867393236849,0.687913813333725,0.555625665711081
"130.txt",0.654313386969428,0.530357390049314,0.69529669537087,0.736147487958723,0.294242970089579
"131.txt",0.777468070099717,0.837936772169494,0.0461161764100173,0.657308853173632,0.798983261754115
"132.txt",0.424766968299096,0.377667287067941,0.333238835923826,0.754345669791762,0.474394523785775
"133.txt",0.796517007171297,0.308011773320378,0.450227167527567,0.49755472559432,0.306182167309673
"134.txt",0.63844550682578,0.598414320228625,0.558068522263481,0.738528844627153,0.248948189008942
"135.txt",0.537101579777507,0.360865704986379,0.371650871960536,0.533723455538943,0.0940724046011818
"136.txt",0,0,0,0,0
"137.txt",0.549149112002736,0.396868505250367,0.47725581198559,0.695077315590663,0.182281784213078
"138.txt",0.649293997092394,0.435214017630534,0.536416258356166,0.647903506817298,0.275497510124311
"139.txt",0.419009023445012,0.440463925829187,0.433104813841054,0.592249256291079,0.654300707022848
"14.txt",0.323678614319045,0.492219208938824,0.0919777091517337,0.800808843453941,0.10577819180163
"140.txt",0.588989069365578,0.315862079848448,0.404528376019559,0.702898871852549,0.124456210297528
"141.txt",0.753983973710593,0.500389113353677,0.248578570165183,0.486110747045911,0.424615147222844
"142.txt",0.38788065810076,0.750595954414858,0.419197719199166,0.518270272795558,0.522759494107622
"143.txt",0.76511332413028,0.482654551158236,0.573723446115413,0.660988078785878,0.109390443380331
"144.txt",0.530381900375288,0.414649257270416,0.497034522779902,0.612874591975426,0.0677102704626018
"145.txt",0.547877667484582,0.470482290719282,0.391542184464758,0.619109016128983,0.246086946032188
"146.txt",0.498025534015632,0.626116811345508,0.524508189899018,0.499337644330243,0
"147.txt",0.296886634074262,0.434695008697968,0.582294611988563,0.633212408318686,0.129718877054046
"148.txt",0.517519326560933,0.653049811974019,0.524274629726895,0.913398674289764,0.328941077685568
"149.txt",0.340016810802896,0.490822481102274,0.482585283785037,0.695772924157078,0.125554558557226
"15.txt",0.624919917047755,0.44701475799256,0.619601733800059,0.483419292108696,0.0568740419714135
"150.txt",0.502627107811962,0.467712733415357,0.422347520468137,0.584907596509612,0.330769067504229
"151.txt",0.439285292548351,0.60282152913243,0.723244836374848,0.587102540086897,0.168289995211845
"152.txt",0,0,0,0,0
"153.txt",0.41379960737903,0.714218473653335,0.921609721289519,0.699379139302781,0
"154.txt",0.376582920193614,0.499691001403836,0.460891011262059,0.475095689727695,0.179093091863712
"155.txt",0.240999535798413,0.497236497606521,0.156576193263715,0.711312808759744,0.532349258232984
"156.txt",0.51757190279435,0.479374865142985,0.290901677232821,0.647005082427327,0.319473010237938
"157.txt",0.616920089222478,0.520459142419262,0.522541454322267,0.546866902878648,0.376130883598645
"158.txt",0.594537599614102,0.588028723804981,0.744954523183532,0.633820348131848,0.231416174307077
"159.txt",0.843346950060067,0.593016269537105,0.63397753324883,0.781373619569235,0.0382412990854928
"16.txt",0.39072132779006,0.462790142552279,0.406964043492468,0.341945228752844,0.22808802455796
"160.txt",0.510610692218233,0.341668798252228,0.53316859104319,0.647972886680365,0.258406875052928
"161.txt",0.470625320296347,0.577533642072742,0.664439522735429,0.45761670960996,0.335810008968701
"162.txt",0.462556439663629,0.455946261688441,0.409253049082909,0.707105424503396,0.224155688110846
"163.txt",0.427536997582591,0.63014926595689,0.349894360120715,0.583745828165342,0.201545959648291
"164.txt",0.683282292605591,0.336617174788488,0.386516522026086,0.507099391974139,0.285783122961532
"165.txt",0.265664680430926,0.532267443412608,0.412067415681222,0.56822348560728,0.313312159863714
"166.txt",0.40351877334287,0.467858700295328,0.568872389384958,0.226911274221712,0.26853734781781
"167.txt",0.487593840711661,0.420765707524512,0.532394248630116,0.649845713418925,0.114544786213409
"168.txt",0.620688471756991,0.341609904571958,0.558982496206002,0.290109593952475,0.046634744427049
"169.txt",0,0,0,0,0
"17.txt",0.482328498955052,0.394078738592381,0.495446121707611,0.548490349135383,0.421387351484836
"170.txt",0.533369583272335,0.508821121209005,0.684405757043384,0.931424838173452,0
