"filename","MLC","C_S","DC_C","CT_T","CP_C","CN_C"
"115.txt",0.0975665748392562,0.0703812316716129,0.54999999999982,0.909090909091,0.208333333333,0.44594594594679
"116.txt",0.106175390266253,0.0552995391706452,0.39999999999976,0.375,0.291666666667,0.353040540541357
"117.txt",0.121571445682094,0.148387096774194,0.678260869565071,1,0.130434782609,0.542890716805757
"118.txt",0.166099497650138,0.0456989247312903,0.494117647058598,0.384615384615,0.411764705882,0.577106518284605
"119.txt",0.14348025711708,0.193548387096774,0.5000000000006,1,0.416666666667,0.594594594594233
"12.txt",0.0789715335169422,0.0509337860780645,0.39999999999976,0.277777777778,0,0.267567567568074
"120.txt",0.114191771083333,0.0769230769232258,0.580645161290632,0.571428571429,0.354838709677,0.417175239756789
"121.txt",0.125982664785262,0.06960950764,0.585365853659034,0.631578947368,0.170731707317,0.326301911668307
"122.txt",0.137741046831956,0.32258064516129,0.60000000000024,0.75,0.15,0.691216216217524
"123.txt",0.101427498121763,0.0665322580645161,0.436363636363375,0.473684210526,0.121212121212,0.256756756757432
"124.txt",0.165289256198347,0.0430107526880645,0.30000000000012,0.166666666667,0.25,0.668918918920185
"125.txt",0.147641184573003,0.0645161290322581,0.487500000000195,0.529411764706,0.3125,0.599239864865999
"127.txt",0.107131925313774,0.032258064516129,0.39999999999976,0.5,0.222222222222,0.198198198198375
"128.txt",0.0906029996939394,0.0382003395587097,0.159999999999664,0.102564102564,0.0888888888889,0.21801801801848
"129.txt",0.0940232363157025,0.0529953917051613,0.260869565217704,0.290322580645,0.130434782609,0.184195064630254
"13.txt",0.0795837159473829,0.0725806451612903,0.20000000000048,0.181818181818,0.166666666667,0.198198198198375
"130.txt",0.119375573921074,0.179723502304194,0.615384615385446,0.571428571429,0.0512820512821,0.606029106028309
"131.txt",0.105184072126171,0.0887096774193548,0.327272727272531,0.428571428571,0.181818181818,0.44594594594679
"132.txt",0.123278236914601,0.107526881720323,0.720000000000288,0.833333333333,0.2,0.401351351352111
"133.txt",0.173074619714876,0.0529953917051613,0.469565217391388,0.285714285714,0.260869565217,0.775558166862819
"134.txt",0.143250688705234,0.0430107526880645,0.240000000000096,0.1875,0.35,0.468243243244129
"135.txt",0.108292960957576,0.0850439882696774,0.496551724137799,0.583333333333,0.206896551724,0.492078285181742
"136.txt",0.102194970230165,1,0.580645161290632,0.6,0.0322580645161,0.316477768091342
"137.txt",0.139118457300275,0.0744416873448387,0.519999999999808,0.571428571429,0.4,0.460810810810196
"138.txt",0.124426078971488,0.0604838709677419,0.39999999999976,0.421052631579,0.133333333333,0.520270270272741
"139.txt",0.119146005509642,0.0716845878135484,0.660000000000264,0.666666666667,0.65,0.334459459460092
"14.txt",0.165289256198347,0.0645161290322581,0.39999999999976,0.666666666667,0,0.668918918920185
"140.txt",0.12217031979876,0.0494623655912903,0.365217391304546,0.294117647059,0.130434782609,0.50411280846217
"141.txt",0.142602495544077,0.0685483870967742,0.564705882353026,0.75,0.470588235294,0.655802861684619
"142.txt",0.092592592592562,0.0580645161290323,0.466666666666987,0.5,0.111111111111,0.222972972973395
"143.txt",0.163223140495868,0.0496277915632258,0.180000000000072,0.266666666667,0.4,0.668918918920185
"144.txt",0.108881017971901,0.0645161290322581,0.39999999999976,0.461538461538,0.0714285714286,0.403474903475709
"145.txt",0.143038779402204,0.0645161290322581,0.369230769230548,0.444444444444,0.346153846154,0.480249480249017
"146.txt",0.12568870523416,0.0430107526880645,0.30000000000012,0.333333333333,0.5,0.390202702703441
"147.txt",0.101666010756887,0.0423387096774194,0.285714285714114,0.266666666667,0.142857142857,0.276061776062468
"148.txt",0.122245179063361,0.0703812316716129,0.45000000000018,0.666666666667,0.166666666667,0.483108108107536
"149.txt",0.109427609427548,0.0527859237535484,0.266666666666507,0.384615384615,0.166666666667,0.297297297298008
"15.txt",0.133723599632645,0.0860215053764516,0.5000000000006,0.583333333333,0.25,0.557432432433487
"150.txt",0.151070825557851,0.0555555555554839,0.42580645161257,0.5,0.483870967742,0.388404533566343
"151.txt",0.088957759412259,0.0595533498758064,0.45000000000018,0.533333333333,0.0416666666667,0.278716216216744
"152.txt",0,0,0,0,0,0
"153.txt",0.0792011019283747,0.0552995391706452,0.20000000000048,0.25,0,0.148648648648781
