"filename","lexical_density_types","lexical_density_tokens","simple_ttr_aw","simple_ttr_cw","root_ttr_fw","mattr50_cw","hdd42_aw","hdd42_cw","hdd42_fw","mtld_original_aw","mtld_original_cw","mtld_ma_bi_aw","mtld_ma_bi_cw","mtld_ma_bi_fw"
"248.txt",0.319461444308445,0.431671934974035,0.460164835164835,0.46236559139785,0.476641997508256,0.446107897622018,0.460297325329097,0.712897672332914,0.770895481344988,0.156725323473472,0.0364688167290049,0.253243331366518,0.193553208449582,0.126328919752191
"260.txt",0.89922480620155,0.836913612883061,0.383833248601932,0.42314990512334,0.652422368075457,0.642225246682545,0.821530295494067,0.866832306622896,0.822352814861738,0.702025212281366,0.259819096938957,0.564435271100104,0.525605217997238,0.269905929812042
"274.txt",0.76280394885046,0.513831322775215,0.404974489795918,0.619228336495889,0.551483841349741,0.696713681331733,0.742298477777465,0.916746666769332,0.784918048890077,0.350668283485038,0.324382154470937,0.412610253662602,0.370943187433812,0.242578187591597
"258.txt",0.449612403100775,0.265941387701573,0.205254515599343,0.376557010539764,0.613004416039552,0.535187705568786,0.63677655090774,0.829206497664442,0.84343613835463,0.416947645172782,0.110170664611226,0.425847101042735,0.298092170339869,0.484638088295976
"270.txt",0.24161414185322,0.297737830450176,0.261398176291793,0.290322580645161,0.831172046437856,0.445549403528308,0.668944496764905,0.750332607556433,0.917955945902023,0.503546440127342,0.0402540579493911,0.497031385388274,0.195983018840404,0.751928903517254
"264.txt",0.553555055430524,0.244116160801643,0.471938775510204,0.847782258064516,0.556897811531382,0.849117235643265,0.610595201344814,0.949695057471009,0.78293145460823,0.331421912472969,0.375489454849185,0.289293078943904,0,0.108817540520745
"13.txt",0.55785242606948,0.453723372392534,0.466472303206997,0.617404351087772,0.268073566734667,0.588978479733917,0.431652511176836,0.782576366425266,0.669898698961106,0.346336383885355,0.0802519510605854,0.327892337384607,0.145327585718735,0.168059464850053
"106.txt",0.803967941137827,0.578908504205138,0.185561769191662,0.301964588891584,0.390297832870161,0.584774002603195,0.636437018706394,0.802344791980403,0.797242084680048,0.428656125518287,0.113568076982182,0.419811093302134,0.350374566853191,0.341101760894354
"112.txt",0.703530199096536,0.413246638128101,0.288600288600289,0.51485902971806,0.627348666630316,0.705077312767002,0.739967348281651,0.88371898503306,0.844628210196414,0.503225473165905,0.243873363783501,0.536924380274521,0.508838128094053,0.354370988213506
"113.txt",0.797040169133192,0.696025429942083,0.345104333868379,0.417921146953405,0,0.405151664083273,0.188470205233698,0.692836873734192,0.513058547767997,0.213203575602168,0.0643523318860303,0.278166411947921,0.187937668873999,0.0147921952306438
"107.txt",0.687264673311185,0.596856685678385,0.372670807453416,0.46236559139785,0.78770820752935,0.613683041113075,0.772625870553705,0.828829758790725,0.902752428304398,0.635628495459769,0.155772986393912,0.522467070879355,0.278028002878163,0.441428148215669
"12.txt",0.490151226331173,0.59546192931943,0.442477876106195,0.425328554360813,0.42714829076483,0.367471929227628,0.416769553451307,0.719073979038568,0.749909543777647,0.265272587245347,0.0356718778265281,0.230435133400788,0.114504915403688,0.120517643175603
"265.txt",0.619587823785214,0.282743898684292,0.514485514485514,0.914746543778802,0.44457841237029,0.886679952688799,0.686522227164359,0.958263439321272,0.790548628887634,0.550946237249117,0.438312487849135,0.430837257852473,0,0.325261118728768
"271.txt",0.475223236188794,0.131914653420637,0.34375,0.736175115207373,0.407783506679211,0.749769114859281,0.51735587426822,0.879496076021938,0.770768592141723,0.271209653313764,0.217379811988068,0.337387595014858,0,0.280643649489866
"259.txt",0.637294644762108,0.518810679611651,0.408653846153846,0.53955857385399,0.642367676045339,0.658189959120474,0.848471641890444,0.875226818985664,0.878303370609065,0.527240399709605,0.207101630251459,0.591963147235313,0.555274478785903,0.452307903892177
"267.txt",0.862965741435358,0.37209135489669,0.267417311752287,0.620156518419546,0.621987293325192,0.841745113606292,0.72086610582461,0.941951403534846,0.813031553812146,0.55121945628577,0.569939525740745,0.51443415376102,0,0.285476289669353
"273.txt",0.401124791001672,0.239321224588779,0.297619047619048,0.494885916601102,0.651023011435802,0.675090476043181,0.660535802064433,0.832210437939061,0.859742017433841,0.294114758873699,0.109897165035729,0.405492827017512,0.505060720386572,0.279567334292896
"10.txt",0.445668434652522,0.470120783123416,0.544918998527246,0.617404351087772,0.433670992289058,0.588978479733917,0.550005439899909,0.781997537751875,0.762386371264102,0.370794408647384,0.0815389758023499,0.259020791159912,0.106763002916277,0.123028171510465
"38.txt",0.446532866093236,0.303231812741056,0.357142857142857,0.542825361512792,0.437146633943809,0.523924741345633,0.579888291444717,0.800464813553098,0.791781231187247,0.405617202541483,0.0910502221093552,0.396901021617873,0.23124251718015,0.310071224067851
"139.txt",0.779883242415542,0.300293519981937,0.312764158918005,0.711121810303322,0.194295706495218,0.683654052146736,0.393555627406852,0.893361106980206,0.656993054725727,0.204284173751384,0.250441211414253,0.273328854772805,0,0.0965336766892553
"111.txt",0.66442721791559,0.155052771145689,0.311550151975684,0.800674049109292,0.315377802103915,0.800379317732159,0.411127764537696,0.908833228863843,0.708344477479636,0.234439300551499,0.331763196085016,0.353291031298685,0,0.207683970877088
"105.txt",0.824289405684754,0.383761943540319,0.417335473515249,0.807603686635945,0.575497274883721,0.842213184846734,0.708100206430593,0.97095039964221,0.787231529208818,0.594522761890414,0.600329783480584,0.578372020757966,0,0.289466004790625
"104.txt",0.663083838186437,0.374934061783982,0.429212043561819,0.720430107526882,0.640745664737622,0.824208399063792,0.812399259662358,0.938957308244213,0.862890339997091,0.406462496107403,0.375581905642208,0.411957114040465,0,0.25144651213278
"110.txt",0.728372093023256,0.358144643878353,0.263295099061522,0.544961461604339,0.488577851857453,0.633674648406487,0.613795724997321,0.893303370033092,0.776816543502946,0.403137194832282,0.170002100881112,0.402991829722689,0.41715992110391,0.22180582596705
"138.txt",0.764341085271318,0.547216538099818,0.298087739032621,0.451066156369601,0.509477022787541,0.62613725461189,0.685156699629816,0.864118279647505,0.769216322807917,0.452476065830441,0.196546111732438,0.439879804325039,0.491182045739386,0.219583888310697
"39.txt",0,0.0555994581169566,0.639097744360902,0.809032258064516,0.577635866850681,0.765566519224225,0.465475231558853,0,0.829251584357344,0.325949269145845,0.0975646966063984,0.249429301038866,0,0.293735297107978
"11.txt",0.68892223055764,0.455451854071403,0.527369826435247,0.788606726149622,0.269141017661094,0.746744079980888,0.473037064984411,0.88236550159304,0.657144966680464,0.278627808931999,0.209041998790314,0.41875791214269,0,0.172097898910715
