filename,nwords,MLS,MLT,MLC,C_S,VP_T,C_T,DC_C,DC_T,T_S,CT_T,CP_T,CP_C,CN_T,CN_C
244.txt,0.29336188436830835,0.1137448297804589,0.13085399449035812,0.12462285189559229,0.1693548387096774,0.15740740740740738,0.11413043478260869,0.6285714285722515,0.09821428571428571,0.13333333333333333,0.75,0.08333333333333333,0.190476190476,0.07291666666666666,0.2972972972980084
245.txt,0.0449678800856531,0.18962774419344058,0.40771349862258954,0.10192837465564739,0.3225806451612903,0.5555555555555556,0.43478260869565216,0.9600000000003841,0.5714285714285714,0.06666666666666667,1.0,0.3333333333333333,0.2,0.41666666666666663,0.44594594594678966
246.txt,0.297644539614561,0.03270760419980294,0.09616829451515152,0.12021036814421487,0.07096774193548387,0.09764309764296296,0.08695652173913043,0.60000000000024,0.07142857142857142,0.07333333333333333,0.545454545455,0.09090909090916667,0.272727272727,0.05303030303041667,0.2837837837844828
247.txt,0.24197002141327623,0.13617562838042718,0.30486685032121214,0.0952708907254821,0.25806451612903225,0.35802469135814813,0.34782608695652173,0.80000000000072,0.3809523809521428,0.06666666666666667,1.0,0.16666666666666666,0.125,0.3333333333333333,0.44594594594678966
248.txt,0.12633832976445397,0.0579064587973214,0.15426997245179064,0.09074704261873279,0.13709677419354838,0.17592592592592593,0.18478260869565216,0.5647058823530259,0.14285714285714285,0.06666666666666667,0.75,0.08333333333333333,0.117647058824,0.11458333333333333,0.28855325914185675
249.txt,0.28693790149892934,0.03722558065548226,0.10303030303030303,0.12265512265509643,0.07526881720419355,0.0962962962962963,0.09130434782608696,0.39999999999976005,0.049999999999999996,0.074074074074,0.2,0.049999999999999996,0.142857142857,0.07083333333333333,0.36100386100462895
25.txt,0.16916488222698073,0.05332484887049986,0.06060606060606061,0.13986013985950413,0.08387096774193549,0.058641975308518515,0.04710144927521739,0.09230769230775693,0.00595238095237857,0.16,0.0833333333333,0.027777777777833332,0.153846153846,0.0625,0.6174636174668439
250.txt,0.25481798715203424,0.10085905186127331,0.18953168044077134,0.098714416896281,0.1935483870967742,0.2,0.20869565217391303,0.65000000000066,0.18571428571428572,0.08333333333333333,0.6,0.16666666666666666,0.208333333333,0.13333333333333333,0.2972972972980084
251.txt,0.36616702355460384,0.036039684146478124,0.11219634360110194,0.11866920957823691,0.07624633431096774,0.12121212121222222,0.10276679841913043,0.692307692307877,0.09740259740285713,0.06666666666666667,0.909090909091,0.060606060605999997,0.153846153846,0.08712121212124999,0.39449064449121934
252.txt,0.24197002141327623,0.037146038816411306,0.09146005509641875,0.1203421777584022,0.07661290322580645,0.08518518518518517,0.08260869565217391,0.3789473684209516,0.04285714285714285,0.08333333333333333,0.6,0.18333333333333335,0.578947368421,0.075,0.4224751066865966
253.txt,0.03211991434689508,0.010181355392834938,0.062442607896969704,0.10407101316198347,0.04838709677419355,0.06790123456777777,0.06521739130434782,0.39999999999976005,0.03571428571428571,0.06666666666666667,0.5,0.027777777777833332,0.111111111111,0.07638888888874999,0.5450450450450853
254.txt,0.29978586723768735,0.027969803025606286,0.08861340679504133,0.12659058113608815,0.06158357771258064,0.07716049382703703,0.07608695652173914,0.5142857142854057,0.05357142857142857,0.07272727272733334,0.583333333333,0.0555555555555,0.190476190476,0.08333333333333333,0.5096525096547481
255.txt,0.5053533190578159,0.021283721553350437,0.07961432506887052,0.12062776525592286,0.05602716468580645,0.08148148148148149,0.0717391304347826,0.43636363636337455,0.04285714285714285,0.07017543859666667,0.5,0.049999999999999996,0.181818181818,0.049999999999999996,0.32432432432505953
256.txt,0.15417558886509636,0.33566656061087713,0.05739210284683195,0.07826195842727272,0.7096774193548387,0.07716049382703703,0.0797101449273913,0.49090909090939633,0.05357142857142857,0.8,0.416666666667,0.013888888888883332,0.0454545454545,0.04513888888874999,0.2635135135139715
257.txt,0.8201284796573877,0.03718012817597223,0.10009182736473829,0.1334557698194215,0.06912442396322581,0.09104938271592593,0.08152173913043478,0.5066666666666026,0.056547619047642855,0.07619047619066667,0.625,0.0625,0.2,0.10590277777791665,0.6045045045076303
258.txt,0.47323340471092074,0.056188355074763316,0.07945483543581268,0.0943526170798898,0.12903225806451613,0.08771929824555555,0.09153318077782609,0.630000000000252,0.07894736842071429,0.12666666666666665,0.736842105263,0.0701754385965,0.2,0.06140350877208334,0.3121621621627527
